Time,P,O,C,aP,n,bP,mP,zD,cPP,kP,aO,bO,zO,mO,cOC,cOP,cOO,kO,aC,bC,zC,mC,cCO,cCP,cCC,kC,default_compartment,a1,a2,a3,a4,a5,a6
2.37,12.030401746185468,0.13639829889219302,0.13927561265634325,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032053737788444,1.2030401746185468,0.012292104643397665,0.013639829889219302,0.013656157668510218,0.013927561265634325
2.38,12.03040339799815,0.13638482834138824,0.13927289995502934,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032055031772912,1.203040339799815,0.01229209638001932,0.013638482834138824,0.013656153022320445,0.013927289995502934
2.39,12.030405049453043,0.1363713711715993,0.1392701899185829,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032056325476854,1.2030405049453043,0.012292088122755037,0.013637137117159932,0.013656148377876775,0.01392701899185829
2.4,12.030406700550223,0.1363579273694969,0.13926748254435461,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032057618900331,1.2030406700550225,0.01229207987159831,0.01363579273694969,0.01365614373517807,0.013926748254435461
2.41,12.030408351289767,0.13634449692176454,0.1392647778296977,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032058912043404,1.2030408351289767,0.012292071626542658,0.013634449692176455,0.013656139094223198,0.013926477782969772
2.42,12.030410001671754,0.13633107981509868,0.13926207577196806,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032060204906136,1.2030410001671754,0.012292063387581596,0.013633107981509868,0.013656134455011012,0.013926207577196807
2.43,12.03041165169626,0.13631767603620853,0.139259376368524,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032061497488584,1.2030411651696262,0.012292055154708654,0.013631767603620854,0.013656129817540389,0.013925937636852402
2.44,12.030413301363364,0.13630428557181615,0.13925667961672644,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032062789790812,1.2030413301363365,0.012292046927917364,0.013630428557181615,0.01365612518181019,0.013925667961672645
2.45,12.030414950673142,0.13629090840865643,0.13925398551393886,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032064081812879,1.2030414950673143,0.012292038707201271,0.013629090840865644,0.013656120547819284,0.013925398551393887
2.46,12.030416599625669,0.13627754453347693,0.13925129405752723,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032065373554843,1.203041659962567,0.012292030492553936,0.013627754453347693,0.013656115915566541,0.013925129405752724
