Time,miR,miR_gene,miR_gene_TF1,Signal,TF1,TF1_mRNA,Sink,kbinTF1miRgene,kdegMiR,kdegTF1,kdegTF1mRNA,kdegTF1mRNAbyMiR,krelTF1miRgene,ksynMiR,ksynTF1,ksynTF1mRNA,cell,miR_gene_TF1_binding,miR_gene_TF1_release,miR_synthesis,miR_degradation,TF1_transcription,TF1_mRNA_degradation,TF1_mRNA_degradation_via_miR,TF1_translation,TF1_degradation
28304.0,307.0284262471469,1.508754518021715,0.49124548197828666,1.0,325.59669323971025,32.55966932850046,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274098917163,2.4562274098914334,2.4562274098914334,2.4562274099771755,10.0,0.0032559669328500462,9.996744033056995,1.6279834664250232,1.6279834661985513
28792.0,307.0284262487145,1.508754518016772,0.4912454819832296,1.0,325.59669324404877,32.55966932833879,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227409916398,2.456227409916148,2.456227409916148,2.456227409989716,10.0,0.0032559669328338795,9.996744033058398,1.6279834664169397,1.627983466220244
29280.0,307.02842625028205,1.5087545180118291,0.49124548198817247,1.0,325.59669324838734,32.55966932817712,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.45622740994108,2.4562274099408623,2.4562274099408623,2.4562274100022563,10.0,0.0032559669328177123,9.9967440330598,1.6279834664088562,1.6279834662419368
29768.0,307.02842625184957,1.5087545180068864,0.4912454819931154,1.0,325.59669325272586,32.55966932801546,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274099657624,2.456227409965577,2.456227409965577,2.4562274100147965,10.0,0.003255966932801546,9.996744033061203,1.627983466400773,1.6279834662636292
30256.0,307.02842625341714,1.5087545180019435,0.4912454819980583,1.0,325.59669325706443,32.55966932785379,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274099904444,2.4562274099902917,2.4562274099902917,2.456227410027337,10.0,0.003255966932785379,9.996744033062607,1.6279834663926895,1.627983466285322
30744.0,307.0284262549847,1.5087545179970006,0.4912454820030012,1.0,325.59669326140295,32.55966932769212,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274100151265,2.456227410015006,2.456227410015006,2.4562274100398778,10.0,0.003255966932769212,9.996744033064008,1.627983466384606,1.6279834663070147
31232.0,307.0284262565523,1.5087545179920576,0.4912454820079441,1.0,325.5966932657415,32.55966932753046,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274100398085,2.4562274100397206,2.4562274100397206,2.4562274100524184,10.0,0.0032559669327530457,9.996744033065413,1.627983466376523,1.6279834663287076
31720.0,307.0284262581198,1.5087545179871147,0.491245482012887,1.0,325.59669327008004,32.55966932736879,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.45622741006449,2.456227410064435,2.456227410064435,2.4562274100649586,10.0,0.003255966932736879,9.996744033066815,1.6279834663684394,1.6279834663504003
32208.0,307.02842625860677,1.5087545179855923,0.49124548201440943,1.0,325.5966932714163,32.55966932731855,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274100720924,2.456227410072047,2.456227410072047,2.456227410068854,10.0,0.003255966932731855,9.996744033067245,1.6279834663659276,1.6279834663570816
32696.0,307.0284262586152,1.5087545179855846,0.4912454820144172,1.0,325.59669327142313,32.559669327317664,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227410072131,2.456227410072086,2.456227410072086,2.4562274100689216,10.0,0.0032559669327317667,9.996744033067246,1.6279834663658832,1.6279834663571158
