AA,Cn,DFG,E1,E2,FA,Fru,Glu,Gly,MG,Man,Mel,_1DG,_3DG,Time
0.27932861013702176,0.6675298641994856,7.3455051162146425,0.13193610579716272,0.3926094847839428,0.03256192947798998,0.018314666619727162,0.05323779947828878,1.1253343441124535,0.030742836013194712,0.033341801582634396,0.004614949091790409,0.04185203607706792,0.02991047255324425,5.5200000000000005
0.2802339145124792,0.6685635623534779,7.342802467649721,0.13200737285551944,0.3928679757654076,0.032676354054306425,0.018367293621771065,0.053386153795270126,1.1276816475899174,0.03084905544883842,0.033434838518692125,0.004640536139426214,0.04188752113235346,0.029981065050217255,5.53
0.2811400591668034,0.6695966483912464,7.340100813476523,0.13207829873382232,0.39312546236482643,0.032790962277854024,0.01841995519726379,0.05353458601583069,1.1300292092533226,0.030955439194200733,0.0335279249839515,0.004666216171498289,0.041922878491466455,0.030051633922918767,5.54
0.28204704155841737,0.6706291223920612,7.337400153329189,0.132148884373311,0.3933819469842342,0.03290575404433782,0.01847265121292054,0.05368309575857977,1.1323770259768176,0.031061987152106486,0.03362106074041626,0.004691989336441183,0.041958108485150684,0.030122178936852147,5.55
0.28295485919265423,0.6716609844501835,7.334700486841945,0.132219130767268,0.3936374321064983,0.03302072925151525,0.018525381530659548,0.05383168261961182,1.1347250945070888,0.031168699224745952,0.0337142455360643,0.00471785577719234,0.04199321132053386,0.030192699830424143,5.5600000000000005
0.28386350954886286,0.6726922346480507,7.332001813649193,0.13228903886405524,0.3938919201418818,0.03313588779545567,0.01857814601670145,0.05398034621443758,1.1370734117042371,0.031275575314825756,0.03380747913096937,0.004743815640625589,0.042028187299472504,0.030263196364924715,5.57
0.2847729901122784,0.6737228730680089,7.329304133385467,0.1323586096095403,0.39414541349518223,0.03325122957217701,0.018630944537587693,0.05412908615963718,1.1394219744363796,0.0313826153250654,0.03390076128587152,0.004769869073424079,0.042063036723037364,0.030333668302658726,5.58
0.28568329837401096,0.6747528997923143,7.326607445685435,0.13242784394710397,0.3943979145657459,0.033366754477646095,0.018683776960179716,0.0542779020728568,1.1417707795796277,0.031489819158197235,0.033994091762175084,0.004796016222079913,0.042097759891511655,0.03040411540694226,5.59
0.2865944318310338,0.675782314903134,7.323911750183902,0.13249674281764798,0.3946494257474816,0.03348246240777893,0.018736643151658114,0.05442679357280547,1.144119824018067,0.031597186716966416,0.03408747032194664,0.004822257232893796,0.04213235710438934,0.030474537442098954,5.6000000000000005
0.2875063879861719,0.6768111184825482,7.321217046515807,0.13256530715960246,0.3948999494288747,0.03359835325844099,0.018789542979521803,0.05457576027925168,1.1464691046437343,0.03170471790413087,0.034180896727912934,0.00484859225197467,0.04216682866037346,0.030544934173456287,5.61
0.288419164348091,0.6778393106125511,7.31852333431622,0.13263353790893354,0.3951494879930009,0.033714426925447544,0.01884247631158722,0.05472480181302023,1.1488186183565992,0.03181241262246129,0.03427437074345891,0.0048750214252393665,0.042201174857374416,0.030615305367341968,5.62
0.28933275843128603,0.6788668913750533,7.315830613220349,0.13270143599915096,0.3953980438175407,0.033830683304563944,0.018895443015987487,0.05487391779598888,1.1511683620645405,0.03192027077474112,0.034367892132625595,0.004901544898412245,0.04223539599250822,0.030685650791080203,5.63
