A,I1,I2,O,R,S,Time
0.3235464323340251,0.000371916829551383,0.6759097202853304,6.055676396824429e-05,0.00011118477002295303,1.8901710416017301e-07,5.08
0.3235464245882847,0.0003691440384203183,0.675912671892466,6.0553585992535455e-05,0.0001110168879348975,1.890069038232281e-07,5.09
0.3235464175763452,0.0003663939321941573,0.6759155986809766,6.0550434142423706e-05,0.00011085037955646487,1.889967873677594e-07,5.1000000000000005
0.32354641127503,0.00036366632528263374,0.6759185008710913,6.054730820094794e-05,0.0001106852336432966,1.8898675409650062e-07,5.11
0.3235464056617916,0.000360961033613819,0.6759213786807973,6.054420795300454e-05,0.00011052143904317261,1.8897680331817208e-07,5.12
0.3235464007146959,0.00035827787462170156,0.6759242323258696,6.054113318533011e-05,0.00011035898469525367,1.8896693434742443e-07,5.13
0.3235463964124059,0.0003556166672338669,0.6759270620199,6.053808368648436e-05,0.00011019785962933026,1.8895714650478305e-07,5.14
0.3235463927341659,0.0003529772318592787,0.6759298679743259,6.053505924683315e-05,0.00011003805296507749,1.8894743911659322e-07,5.15
0.32354638965978677,0.00035035939037616066,0.6759326503984577,6.053205965853175e-05,0.00010987955391131637,1.8893781151496575e-07,5.16
0.32354638716963086,0.00034776296611997514,0.6759354094995075,6.0529084715508374e-05,0.00010972235176528104,1.8892826303772334e-07,5.17
0.32354638524459756,0.00034518778387150286,0.6759381454826148,6.0526134213447745e-05,0.00010956643591189218,1.8891879302834748e-07,5.18
0.3235463838661095,0.00034263366984501833,0.675940858550874,6.0523207949774936e-05,0.00010941179582303648,1.88909400835926e-07,5.19
0.3235463830160987,0.0003401004516765635,0.6759435489053607,6.052030572363938e-05,0.00010925842105685208,1.8890008581510118e-07,5.2
0.3235463826769932,0.0003375879584123151,0.6759462167451565,6.051742733589904e-05,0.00010910630125701975,1.8889084732601837e-07,5.21
0.3235463828317042,0.0003350960204970494,0.675948862267375,6.0514572589104715e-05,0.00010895542615206024,1.8888168473427534e-07,5.22
0.32354638346361353,0.0003326244697626999,0.6759514856671864,6.051174128748466e-05,0.00010880578555463725,1.8887259741087204e-07,5.23
