DUSP,cFOS,cFOSm,cFOSp,pRSKn,pcFOS,ppERKc,ppERKn,x1,x2,Time
0.9224529206553735,0.021645785332099685,0.0790057536486593,0.0987713991249822,0.06647940295732976,0.0020618043104747154,0.8955043277857375,0.21349306968390866,0.9315254182302873,0.03602109044454978,5.92
0.9245878901187792,0.02179812389794086,0.07943701007321936,0.09908195870276976,0.06659309550946342,0.0020819431777764747,0.8959592268100206,0.21350075397550472,0.9320407822689124,0.03608155545889176,5.93
0.9267229343579526,0.021951150759367686,0.07986947347536895,0.09939238487695329,0.06670662512252885,0.002102231079580331,0.8964124511361947,0.21350802518740555,0.9325544703284036,0.03614201919220888,5.94
0.9288580492525804,0.02210486676702745,0.0803031422156797,0.09970267465659352,0.06681999162902928,0.0021226687160573825,0.8968640062145663,0.21351488541486255,0.9330664878590945,0.03620248164452826,5.95
0.9309932307032563,0.022259272763359362,0.08073801464111983,0.10001282506440898,0.06693319486380807,0.002143256788101503,0.8973138974777175,0.2135213367439511,0.9335768402935946,0.03626294281587705,5.96
0.933128474631389,0.022414369582589636,0.08117408908513309,0.10032283313678363,0.06704623466403606,0.0021639959973181306,0.8977621303405634,0.21352738125160653,0.9340855330468458,0.03632340270628239,5.97
0.935263776979111,0.02257015805072691,0.08161136386771799,0.10063269592377387,0.067159110869199,0.0021848870460130674,0.8982087102004096,0.2135330210056596,0.934592571516181,0.036383861315771426,5.98
0.9373991337091873,0.022726638985557834,0.0820498372955068,0.10094241048911493,0.06727182332108496,0.0022059306371812583,0.8986536424370092,0.21353825806487214,0.9350979610813804,0.03644431864437128,5.99
0.9395345408049257,0.022883813196643055,0.08248950766184476,0.1012519739102267,0.06738437186377187,0.0022271274744955862,0.8990969324126201,0.21354309447897252,0.9356017071047292,0.036504774692109096,6.0
0.9416699942700864,0.02304168148531334,0.08293037324686903,0.10156138327821883,0.06749675634361504,0.0022484782622956413,0.8995385854720622,0.2135475322886909,0.9361038149310742,0.036565229459012014,6.01
0.9438054901287919,0.02320024464466598,0.08337243231758772,0.10187063569789533,0.06760897660923482,0.0022699837055764993,0.8999786069427734,0.21355157352579462,0.9366042898878806,0.03662568294510717,6.0200000000000005
