G,Ii,Ip,x1,x2,x3,Time
12199.320737872291,242.17409662484368,90.0831611002029,108.17666813969626,112.34419813604505,105.54304221306222,1.53
12198.40067017001,242.1658971569943,90.06216183119244,108.16158775019942,112.3407203596304,105.5487060341415,1.54
12197.480827081621,242.15768600406236,90.04116863581568,108.14650243288722,112.33723291634574,105.55436223636914,1.55
12196.561208794721,242.14946317339056,90.02018151883233,108.13141219692571,112.33373581014249,105.56001081804081,1.56
12195.641815496645,242.1412286723227,89.9992004849904,108.11631705147724,112.33022904497635,105.56565177745689,1.57
12194.722647374465,242.13298250820372,89.97822553902614,108.1012170057005,112.3267126248074,105.5712851129225,1.58
12193.803704614993,242.1247246883796,89.95725668566412,108.0861120687505,112.32318655360002,105.57691082274742,1.59
12192.884987404781,242.11645522019734,89.93629392961722,108.0710022497785,112.31965083532295,105.5825289052462,1.6
12191.966495930115,242.10817411100513,89.91533727558665,108.05588755793214,112.31610547394918,105.58813935873808,1.61
12191.048230377028,242.09988136815213,89.89438672826192,108.04076800235528,112.31255047345607,105.59374218154699,1.62
12190.130190931286,242.0915769989886,89.87344229232092,108.02564359218809,112.30898583782526,105.5993373720016,1.6300000000000001
12189.212377778398,242.08326101086578,89.85250397242987,108.01051433656703,112.3054115710427,105.60492492843527,1.6400000000000001
12188.294791103614,242.07493341113604,89.83157177324338,107.99538024462481,112.30182767709859,105.61050484918609,1.6500000000000001
12187.37743109192,242.0665942071527,89.81064569940445,107.98024132549043,112.29823415998744,105.61607713259684,1.6600000000000001
12186.460297928048,242.0582434062701,89.78972575554445,107.96509758828913,112.29463102370806,105.62164177701503,1.67
12185.54339179647,242.04988101584365,89.76881194628318,107.94994904214239,112.29101827226349,105.62719878079285,1.68
12184.626712881394,242.04150704322973,89.74790427622885,107.93479569616798,112.28739590966102,105.63274814228724,1.69
12183.710261366776,242.03312149578568,89.72700274997813,107.91963755947987,112.28376393991223,105.63828985985981,1.7
12182.79403743631,242.02472438086988,89.7061073721161,107.90447464118826,112.28012236703294,105.6438239318769,1.71
12181.878041273434,242.01631570584166,89.6852181472163,107.8893069503996,112.27647119504321,105.64935035670953,1.72
12180.962273061326,242.00789547806133,89.66433507984078,107.87413449621654,112.27281042796734,105.65486913273348,1.73
12180.046732982908,241.99946370489016,89.64345817454004,107.85895728773797,112.26914006983384,105.6603802583292,1.74
12179.131421220844,241.99102039369038,89.6225874358531,107.84377533405895,112.26546012467546,105.66588373188183,1.75
12178.21633795754,241.98256555182516,89.60172286830748,107.82858864427075,112.26177059652916,105.67137955178126,1.76
12177.301483375146,241.97409918665863,89.58086447641921,107.81339722746087,112.25807148943612,105.67686771642205,1.77
12176.386857655556,241.96562130555583,89.56001226469287,107.79820109271294,112.2543628074417,105.6823482242035,1.78
12175.472460980409,241.9571319158827,89.53916623762159,107.78300024910682,112.25064455459545,105.68782107352956,1.79
12174.558293531083,241.94863102500616,89.51832639968704,107.7677947057185,112.24691673495116,105.69328626280895,1.8
12173.644355488706,241.94011864029397,89.49749275535949,107.75258447162018,112.24317935256674,105.69874379045505,1.81
12172.730647034148,241.93159476911484,89.47666530909777,107.7373695558802,112.23943241150431,105.70419365488596,1.82
12171.817168348021,241.92305941883836,89.45584406534932,107.72214996756307,112.23567591583016,105.70963585452446,1.83
12170.903919610688,241.91451259683498,89.43502902855022,107.70692571572943,112.23190986961471,105.71507038779808,1.84
12169.99090100225,241.90595431047606,89.41422020312511,107.69169680943607,112.22813427693258,105.720497253139,1.85
12169.078112702558,241.89738456713383,89.39341759348733,107.67646325773592,112.22434914186249,105.72591644898415,1.86
12168.16555489121,241.88880337418132,89.37262120403882,107.66122506967804,112.22055446848735,105.73132797377512,1.87
12167.253227747544,241.88021073899247,89.35183103917021,107.64598225430761,112.21675026089417,105.73673182595823,1.8800000000000001
12166.34113145065,241.87160666894206,89.33104710326079,107.63073482066594,112.21293652317411,105.74212800398448,1.8900000000000001
12165.429266179362,241.86299117140572,89.31026940067855,107.61548277779043,112.20911325942244,105.74751650630957,1.9000000000000001
12164.51763211226,241.85436425375985,89.28949793578018,107.60022613471462,112.20528047373854,105.75289733139391,1.9100000000000001
12163.606229427673,241.84572592338174,89.26873271291106,107.58496490046811,112.20143817022591,105.75827047770262,1.92
12162.695058303674,241.83707618764944,89.24797373640531,107.56969908407662,112.19758635299216,105.76363594370551,1.93
12161.784118918089,241.82841505394185,89.2272210105858,107.55442869456193,112.19372502614897,105.76899372787706,1.94
12160.873411448485,241.81974252963863,89.20647453976412,107.53915374094196,112.18985419381212,105.77434382869647,1.95
12159.962936072181,241.81105862212027,89.18573432824064,107.52387423223064,112.18597386010148,105.77968624464766,1.96
12159.052692966245,241.802363338768,89.16500038030452,107.508590177438,112.182084029141,105.78502097421921,1.97
12158.142682307489,241.79365668696386,89.14427270023367,107.49330158557012,112.17818470505865,105.79034801590441,1.98
12157.232904272478,241.78493867409065,89.12355129229485,107.47800846562916,112.17427589198654,105.79566736820125,1.99
12156.323359037522,241.77620930753193,89.10283616074359,107.4627108266133,112.17035759406077,105.8009790296124,2.0
12155.414046778686,241.76746859467198,89.08212730982427,107.44740867751679,112.16642981542152,105.80628299864524,2.0100000000000002
12154.504967671777,241.75871654289588,89.0614247437701,107.4321020273299,112.16249256021301,105.81157927381184,2.02
12153.596121892358,241.7499531595894,89.04072846680315,107.41679088503896,112.15854583258347,105.81686785362895,2.0300000000000002
12152.68750961574,241.7411784521391,89.02003848313433,107.4014752596263,112.15458963668519,105.82214873661803,2.04
12151.779131016983,241.73239242793218,88.99935479696347,107.38615516007026,112.15062397667447,105.82742192130523,2.05
12150.870986270898,241.72359509435663,88.97867741247926,107.37083059534524,112.14664885671162,105.83268740622138,2.06
12149.963075552047,241.7147864588011,88.95800633385929,107.35550157442161,112.14266428096097,105.83794518990202,2.07
12149.055399034742,241.7059665286549,88.93734156527007,107.34016810626576,112.13867025359083,105.84319527088734,2.08
12148.147956893048,241.69713531130816,88.91668311086706,107.32483019984008,112.13466677877354,105.84843764772226,2.09
12147.24074930078,241.68829281415157,88.89603097479461,107.30948786410293,112.13065386068538,105.8536723189564,2.1
12146.333776431504,241.67943904457655,88.87538516118607,107.29414110800869,112.12663150350666,105.85889928314403,2.11
12145.427038458542,241.67057400997518,88.85474567416375,107.27878994050768,112.12259971142163,105.86411853884411,2.12
12144.520535554962,241.66169771774022,88.83411251783892,107.26343437054622,112.11855848861853,105.86933008462032,2.13
