Time,Akt,DEPTOR,iIRS,IR,IRS,mTORC1,mTORC1_DEPTOR,mTORC2,mTORC2_DEPTOR,pAkt,pDEPTOR,pIR,pIRS,pmTORC1,pmTORC2
324.0,61.911511302184515,23.77921458090983,87.17961009710652,36.553500149112374,5.474631967351874,70.31089115110846,129.52667348510542,6.394604967501705,193.2360892023678,38.088488697815414,3.458022731614776,13.446499850887658,7.345757935541699,50.16243536378475,0.3693058301278572
327.6,62.588117404842436,22.015692554517702,86.60430014218072,36.55243542279493,6.013847919384646,75.07309476000738,132.68397796037195,6.75545078924009,192.85637752230076,37.41188259515749,2.4439519628074566,13.44756457720511,7.381851938434738,42.242927279619316,0.38817168845653666
331.2,63.1178591626485,20.2239257124207,85.86989791459729,36.55144609134717,6.66936530781542,80.09331911837806,135.67933315708214,7.1879415649001475,192.40082864547676,36.88214083735144,1.6959124850182659,13.448553908652867,7.460736777587388,34.22734772453844,0.4112297896204915
334.8,63.47958211569873,18.49928964686652,84.94126899218936,36.55052681419968,7.47006263668035,85.30556250605501,138.47622049502854,7.6879627486561235,191.87354206765096,36.52041788430122,1.1509477904518262,13.449473185800345,7.588668371130367,26.21821699891509,0.4384951836902974
338.4,63.653167856333,16.908473558892272,83.7764261695322,36.54967262931961,8.450423023411572,90.57100763213269,141.0551384941226,8.246905595680946,191.2834264675013,36.34683214366696,0.7529614794816957,13.450327370680418,7.77315080705631,18.373853873743364,0.46966793681513697
342.0,63.62060212108322,15.489283216384665,82.330390826195,36.548878926351044,9.64680635952125,95.60200348435434,143.4059582196912,8.853457858234773,190.64231956429546,36.37939787891674,0.4624389996265841,13.451121073648977,8.022802814283834,10.992038295953156,0.5042225774671658
345.6,63.36658303072816,14.263826760244774,80.57415680290136,36.54814142165284,11.079326068205459,99.64596508936829,145.51354657226818,9.494073992563816,189.96444932573542,36.63341696927179,0.25817734174946966,13.451858578347196,8.34651712889325,4.840488338362212,0.5414766816981251
349.2,62.87922127540171,13.263671155029801,78.56941084154163,36.54745613512774,12.68037775284264,100.79557799985704,147.3240756860359,10.150562314246717,189.2688803452608,37.120778724598246,0.1433728136713586,13.452543864872275,8.750211405615794,1.8803463141057506,0.5805573404898475
352.8,62.15217855866779,12.530484473803082,76.508045227509,36.546819368691345,14.262088604635732,99.61803857042672,148.77266228728385,10.794168290202805,188.58566296178415,37.84782144133215,0.11119027712679475,13.453180631308673,9.229866167855292,1.6092991422880938,0.6201687480104325
356.4,61.18834042620179,12.026570705202891,74.47926716652442,36.54622768627159,15.747392387881494,98.38994470953047,149.91651442304877,11.393211068087927,187.94824108420096,38.81165957379815,0.10867378754523915,13.453772313728418,9.773340445594094,1.6935408674194288,0.6585478477084793
360.0,60.00050874439838,11.673378461709174,72.49358955315707,36.545677895229105,17.137681933591598,97.33480677537716,150.83894504833296,11.930195647747412,187.37563870869326,39.99949125560156,0.11203778126238478,13.454322104770913,10.368728513251357,1.8262481762884972,0.6941656435566669
363.6,58.607952557412546,11.414995285305809,70.55536449539723,36.545167029097165,18.43860877820298,96.40381953040736,151.59572608117753,12.401327050462232,186.8724644989705,41.392047442587405,0.11681413454395738,13.454832970902862,11.006026726399817,2.000454388413761,0.7262084505646162
367.2,57.03241025222857,11.219060638566981,68.66973590020467,36.544692331548156,19.653469124697903,95.55327296059885,152.222927970581,12.809811210148663,186.4357176496364,42.96758974777138,0.12229374121341408,13.45530766845186,11.676794975097463,2.2237990688188076,0.754471140212269
370.8,55.295500035459916,11.067160713829079,66.843198321539,36.54425124149773,20.783015363709346,94.74741175974368,152.74494660112592,13.1614633428457,186.0594398147666,44.704499964540034,0.12845287027610164,13.45574875850228,12.373786314751674,2.5076416391289857,0.7790968423849898
374.4,53.4175237137639,10.948509861666647,65.08400818855108,36.54384137926575,21.825352522129865,93.9533016544967,153.17896929450353,13.462570078664736,185.73704902329885,46.582476286236044,0.13547182052867884,13.456158620734264,13.090639289319052,2.867729050998355,0.8003808980337196
378.0,51.41715025220547,10.856610717948431,63.40274088083059,36.543460533720086,22.775645942245966,93.1370614985778,153.53734900560173,13.718960891188203,185.46238015760707,48.582849747794484,0.14366011884045998,13.456539466279919,13.821613176923433,3.3255894958190586,0.8186589512020332
381.6,49.3115639089993,10.78756836005119,61.813020689717554,36.54310665033015,23.625632755259982,92.26098500273386,153.82887026344878,13.935644038258594,185.23010491252745,50.688436091000646,0.15345646397026397,13.456893349669851,14.561346555022466,3.910144733815953,0.8342510492112464
385.2,47.11683327564309,10.739251827876757,60.332405960583124,36.542777820074704,24.362970576806187,91.28131373136846,154.05941758603925,14.116682987385413,185.0358808480941,52.883166724356855,0.1654497379875821,13.457222179925306,15.304623462610692,4.659268682590899,0.8474361645177678
388.8,44.84837973479846,10.71088426964803,58.98334240697853,36.54247226912785,24.970522857388186,90.14691472409827,154.23231366986965,14.265162747655808,184.8763959097958,55.15162026520148,0.18040615068419733,13.457527730872167,16.04613473563329,5.620771606030741,0.858441342545634
392.4,42.52149020799378,10.70284410100265,57.79397968577804,36.54218834932279,25.425792485654302,88.79944417010256,154.3484829827929,14.383181536765525,184.74938132803655,57.478509792006165,0.19929158816559947,13.457811650677202,16.780227828567664,6.8520728471032,0.8674371351951743
396.0,40.15185074190041,10.716552576226107,56.798496859337206,36.54192452922662,25.70085619682998,87.1755641928081,154.40655342001745,14.471849721448503,184.65361477154755,59.84814925809953,0.22327923220659576,13.458075470773387,17.50064694383281,8.417882387173085,0.8745355070012142
399.6,37.75608058397459,10.754373565291765,56.036481976334024,36.54167938563782,25.763239068411327,85.21124224906764,154.40297974662667,14.531303533783436,184.58890735846987,62.24391941602536,0.2537393296093677,13.458320614362178,18.200278955254642,10.385778004304322,0.8797891077439357
403.2,35.352256530550534,10.81949944330979,55.55098624466471,36.541451596282094,25.578094193675046,82.84741106927099,154.33221852469904,14.560741486887316,184.55606689840056,64.64774346944942,0.29221513358831364,13.458548403717904,18.870919561660234,12.820370406028607,0.8831916147093953
